"zip","score_ngas","score_elec","score_dty"
11215,,0.0013777243,0.3517169654
11216,,0.0036600032,0.0645161271
11217,,0.0108156241,0.0749219581
11218,,0.0002401409,0.1279916763
11219,,0.0001351468,0.1477627456
11220,,0.0010226801,0.0946930274
11221,,0.0032499188,0.0707596242
11222,,0.0013068428,0.0988553613
11223,,0.005107474,0.2070759684
11224,,0.0331388488,0.0645161271
11225,,0.0049324627,0.0645161271
11229,,0.0061693182,0.4037460983
11230,,0.0014351675,0.2788761854
11231,,0.0136035411,0.0988553613
11232,,"9.690679871710017e-05",0.0239334032
11233,,0.0090590641,0.1040582731
11234,,0.0023755152,0.3798126876
11235,,0.0073291301,0.260145694
11236,,0.0050305105,0.1269510984
11237,,"1.1571059076231904e-05",0.1519250721
11238,,0.006548611,0.1019771099
11354,0.3181812465,0.011127363,0.1821019799
11355,0.2811796069,0.0024419525,0.1841831356
11356,0.5544633865,"5.658921872964129e-05",0.0749219581
11357,0.7247478962,0.0070643369,0.6597294211
11358,0.6493362784,0.0002107871,0.297606647
11360,0.5404641032,0.0290065128,0.1560874134
11361,0.6151532531,0.0014520583,0.1758584827
11362,0.6725584865,0.0160515979,0.2154006213
11363,1,0.0111348946,0.1612903178
11364,0.5370567441,0.0022394052,0.1800208092
11365,0.4473122954,0.0257947594,0.2216441184
11366,0.6935790777,0.0013857376,0.1508844942
11367,0.3316855431,0.0070700431,0.3215400577
11368,,0.001608003,0.0718002096
11369,,0.0039517223,0.0749219581
11370,0.0023669866,0.0004331278,0.0343392305
11372,,0.0034253255,0.048907388
11373,0.0001890612,0.0011738946,0.210197717
11374,,0.0119969202,0.1404786706
11375,,0.0130369281,0.267429769
11377,0.0196125396,0.0045274948,0.2330905348
11378,,0.0021122028,0.159209162
11379,,0.0003849415,0.1248699278
11385,,0.0003524918,0.3673256934
11414,,0.0095426394,0.1685744077
11415,0.0002442168,0.0021314763,0.0832466185
11418,,0.0001718934,0.0988553613
11421,,0.0028535656,0.1175858453
11422,,"9.169537406705786e-06",0.1415192485
11423,0.0355040357,0.0016269258,0.1394380927
11426,0.575011611,0.0014577868,0.0842872038
11427,0.2477423549,0.0026013569,0.1508844942
11428,0.0141844461,,0.1165452674
11429,0.0001130849,,0.1238293424
11432,0.1313422918,0.0015473984,0.2237252891
11433,,0.0064150114,0.0697190464
11434,0,0.0017497459,0.267429769
11435,0.0316766165,0.0014148687,0.1071800217
10000,,,0
10020,,,0
10065,,,0.0218522381
10075,,,0.0114464099
10307,,,0.1841831356
10803,,,0
11005,,,0.0083246622
11109,,,0.0010405828
11226,,,0.050988555
11228,,,0.1238293424
11239,,,0.0052029137
11249,,,0.0020811656
11411,,,0.1550468206
11412,,,0.1904266328
11413,,,0.1727367342
11416,,,0.0239334032
11417,,,0.0842872038
11419,,,0.1092611849
11420,,,0.2049947977
11430,,,0
11436,,,0.0416233093
11691,,,0.2226846963
11692,,,0.0364203937
11693,,,0.0364203937
11694,,,0.0905306935
,,,0.6847034097
